piece_id,title,ninsheetmusic_id,url_pdf,url_mid,url_mus
00044,Mario  Luigi Bowsers Inside Story - The Grand Finale,1397,https://www.ninsheetmusic.org/download/pdf/1397,https://www.ninsheetmusic.org/download/mid/1397,https://www.ninsheetmusic.org/download/mus/1397
00045,Mario  Luigi Bowsers Inside Story - The Wind is Blowing at Cavi Cape,1585,https://www.ninsheetmusic.org/download/pdf/1585,https://www.ninsheetmusic.org/download/mid/1585,https://www.ninsheetmusic.org/download/mus/1585
00046,Mario  Luigi Bowsers Inside Story - Toad Town,2134,https://www.ninsheetmusic.org/download/pdf/2134,https://www.ninsheetmusic.org/download/mid/2134,https://www.ninsheetmusic.org/download/mus/2134
00047,Mario  Luigi Dream Team - Breezy Mushrise Park,2347,https://www.ninsheetmusic.org/download/pdf/2347,https://www.ninsheetmusic.org/download/mid/2347,https://www.ninsheetmusic.org/download/mus/2347
00048,Mario  Luigi Dream Team - Dozing Sands Secret,5310,https://www.ninsheetmusic.org/download/pdf/5310,https://www.ninsheetmusic.org/download/mid/5310,https://www.ninsheetmusic.org/download/mus/5310
00049,Mario  Luigi Dream Team - Dreamy Mushrise Winds,3736,https://www.ninsheetmusic.org/download/pdf/3736,https://www.ninsheetmusic.org/download/mid/3736,https://www.ninsheetmusic.org/download/mus/3736
00050,Mario  Luigi Dream Team - The Law of Pajamaja,2356,https://www.ninsheetmusic.org/download/pdf/2356,https://www.ninsheetmusic.org/download/mid/2356,https://www.ninsheetmusic.org/download/mus/2356
00051,Mario  Luigi Paper Jam - Mario Craft Rhythm,3579,https://www.ninsheetmusic.org/download/pdf/3579,https://www.ninsheetmusic.org/download/mid/3579,https://www.ninsheetmusic.org/download/mus/3579
00052,Mario  Luigi Paper Jam - On the March,3737,https://www.ninsheetmusic.org/download/pdf/3737,https://www.ninsheetmusic.org/download/mid/3737,https://www.ninsheetmusic.org/download/mus/3737
00053,Mario  Luigi Partners in Time - Battle Clear Fanfare,1598,https://www.ninsheetmusic.org/download/pdf/1598,https://www.ninsheetmusic.org/download/mid/1598,https://www.ninsheetmusic.org/download/mus/1598
00054,Mario  Luigi Partners in Time - Boss Battle,874,https://www.ninsheetmusic.org/download/pdf/874,https://www.ninsheetmusic.org/download/mid/874,https://www.ninsheetmusic.org/download/mus/874
00055,Mario  Luigi Partners in Time - Bowser Battle,4790,https://www.ninsheetmusic.org/download/pdf/4790,https://www.ninsheetmusic.org/download/mid/4790,https://www.ninsheetmusic.org/download/mus/4790
00056,Mario  Luigi Partners in Time - Elder Princess Shroob Battle,447,https://www.ninsheetmusic.org/download/pdf/447,https://www.ninsheetmusic.org/download/mid/447,https://www.ninsheetmusic.org/download/mus/447
00057,Mario  Luigi Partners in Time - Gritzy Desert,385,https://www.ninsheetmusic.org/download/pdf/385,https://www.ninsheetmusic.org/download/mid/385,https://www.ninsheetmusic.org/download/mus/385
00058,Mario  Luigi Partners in Time - Hollijolli Village,1492,https://www.ninsheetmusic.org/download/pdf/1492,https://www.ninsheetmusic.org/download/mid/1492,https://www.ninsheetmusic.org/download/mus/1492
00059,Mario  Luigi Partners in Time - Normal Battle,1853,https://www.ninsheetmusic.org/download/pdf/1853,https://www.ninsheetmusic.org/download/mid/1853,https://www.ninsheetmusic.org/download/mus/1853
00060,Mario  Luigi Partners in Time - Princess Shroob Battle,1491,https://www.ninsheetmusic.org/download/pdf/1491,https://www.ninsheetmusic.org/download/mid/1491,https://www.ninsheetmusic.org/download/mus/1491
00061,Mario  Luigi Partners in Time - The Koopaseum,1969,https://www.ninsheetmusic.org/download/pdf/1969,https://www.ninsheetmusic.org/download/mid/1969,https://www.ninsheetmusic.org/download/mus/1969
